Emotion,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Negative,Positive,Word,Number of Records
anger,,,,,,,,,,,rough,1
anticip,,,,,,,,,,,burn,1
anticip,,,,,,,,,,,fathom,1
anticip,,,,,,,,,,,uncertainty,1
disgust,,,,,,,,,,,rough,1
fear,,,,,,,,,,,burn,1
fear,,,,,,,,,,,rough,1
joy,,,,,,,,,,,divine,1
negative,,,,,,,,,,,burn,1
negative,,,,,,,,,,,rough,1
negative,,,,,,,,,,,severity,1
negative,,,,,,,,,,,uncertainty,1
positive,,,,,,,,,,,divine,1
positive,,,,,,,,,,,license,1
surprise,,,,,,,,,,,uncertainty,1
trust,,,,,,,,,,,divine,1
trust,,,,,,,, trust,,,abacus,1
trust,,,,,,,, trust,,,abbot,1
trust,,,,,,,, trust,,,account,1
trust,,,,,,,, trust,,,accountant,1
trust,,,,,,,, trust,,,accounts,1
trust,,,,,,,, trust,,,adhering,1
trust,,,,,,,, trust,,,administrative,1
trust,,,,,,,, trust,,,advice,1
trust,,,,,,,, trust,,,advised,1
trust,,,,,,,, trust,,,advocate,1
trust,,,,,,,, trust,,,akin,1
trust,,,,,,,, trust,,,alb,1
trust,,,,,,,, trust,,,alliance,1
trust,,,,,,,, trust,,,amortization,1
trust,,,,,,,, trust,,,ancestral,1
trust,,,,,,,, trust,,,answerable,1
trust,,,,,,,, trust,,,apostolic,1
trust,,,,,,,, trust,,,apprentice,1
trust,,,,,,,, trust,,,arbiter,1
trust,,,,,,,, trust,,,arbitrator,1
trust,,,,,,,, trust,,,architecture,1
trust,,,,,,,, trust,,,armory,1
trust,,,,,,,, trust,,,assessor,1
trust,,,,,,,, trust,,,assignee,1
trust,,,,,,,, trust,,,association,1
trust,,,,,,,, trust,,,assure,1
trust,,,,,,,, trust,,,assuredly,1
trust,,,,,,,, trust,,,attestation,1
trust,,,,,,,, trust,,,authenticate,1
trust,,,,,,,, trust,,,authentication,1
trust,,,,,,,, trust,,,authorize,1
trust,,,,,,,, trust,,,automatic,1
trust,,,,,,,, trust,,,axiom,1
trust,,,,,,,, trust,,,axiomatic,1
trust,,,,,,,, trust,,,babysitter,1
trust,,,,,,,, trust,,,backer,1
trust,,,,,,,, trust,,,badge,1
trust,,,,,,,, trust,,,bank,1
trust,,,,,,,, trust,,,banker,1
trust,,,,,,,, trust,,,bartender,1
trust,,,,,,,, trust,,,barter,1
trust,,,,,,,, trust,,,base,1
trust,,,,,,,, trust,,,believed,1
trust,,,,,,,, trust,,,believer,1
trust,,,,,,,, trust,,,bequest,1
trust,,,,,,,, trust,,,blanket,1
trust,,,,,,,, trust,,,budget,1
trust,,,,,,,, trust,,,bursary,1
trust,,,,,,,, trust,,,bylaw,1
trust,,,,,,,, trust,,,canons,1
trust,,,,,,,, trust,,,cashier,1
trust,,,,,,,, trust,,,certify,1
trust,,,,,,,, trust,,,chancellor,1
trust,,,,,,,, trust,,,chaplain,1
trust,,,,,,,, trust,,,chart,1
trust,,,,,,,, trust,,,clan,1
trust,,,,,,,, trust,,,coach,1
trust,,,,,,,, trust,,,coalesce,1
trust,,,,,,,, trust,,,coax,1
trust,,,,,,,, trust,,,coexisting,1
trust,,,,,,,, trust,,,cohesion,1
trust,,,,,,,, trust,,,collaborator,1
trust,,,,,,,, trust,,,collateral,1
trust,,,,,,,, trust,,,commerce,1
trust,,,,,,,, trust,,,commission,1
trust,,,,,,,, trust,,,committee,1
trust,,,,,,,, trust,,,communication,1
trust,,,,,,,, trust,,,compact,1
trust,,,,,,,, trust,,,compass,1
trust,,,,,,,, trust,,,comptroller,1
trust,,,,,,,, trust,,,confide,1
trust,,,,,,,, trust,,,confidential,1
trust,,,,,,,, trust,,,confidentially,1
trust,,,,,,,, trust,,,confirmation,1
trust,,,,,,,, trust,,,conformity,1
trust,,,,,,,, trust,,,conglomerate,1
trust,,,,,,,, trust,,,congressman,1
trust,,,,,,,, trust,,,connective,1
trust,,,,,,,, trust,,,consort,1
trust,,,,,,,, trust,,,constable,1
trust,,,,,,,, trust,,,constantly,1
trust,,,,,,,, trust,,,constitute,1
trust,,,,,,,, trust,,,consul,1
trust,,,,,,,, trust,,,consult,1
trust,,,,,,,, trust,,,conveyancing,1
trust,,,,,,,, trust,,,convinced,1
trust,,,,,,,, trust,,,convincing,1
trust,,,,,,,, trust,,,correctness,1
trust,,,,,,,, trust,,,corroboration,1
trust,,,,,,,, trust,,,countryman,1
trust,,,,,,,, trust,,,county,1
trust,,,,,,,, trust,,,courier,1
trust,,,,,,,, trust,,,cover,1
trust,,,,,,,, trust,,,crew,1
trust,,,,,,,, trust,,,cube,1
trust,,,,,,,, trust,,,custodian,1
trust,,,,,,,, trust,,,custody,1
trust,,,,,,,, trust,,,deacon,1
trust,,,,,,,, trust,,,dealings,1
trust,,,,,,,, trust,,,deed,1
trust,,,,,,,, trust,,,depository,1
trust,,,,,,,, trust,,,deputy,1
trust,,,,,,,, trust,,,dermatologist,1
trust,,,,,,,, trust,,,designation,1
trust,,,,,,,, trust,,,dictum,1
trust,,,,,,,, trust,,,differential,1
